"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
84,"2/8/2015","8/8/2015",0,1,2,5,5,19,3,6,3,6,1,5,7,16,3,8,4,0,4,0,2,0,6,2,1,0,3,3,3,10,0,0,2,7
85,"9/8/2015","15/8/2015",1,1,9,17,3,19,9,3,4,6,0,2,15,10,4,6,4,0,7,0,0,1,3,3,6,0,2,2,3,4,0,0,5,15
86,"16/8/2015","22/8/2015",1,1,8,9,9,38,6,3,5,2,0,2,10,12,4,6,2,0,3,0,3,0,7,4,1,1,0,1,5,7,0,0,4,8
87,"23/8/2015","29/8/2015",1,3,7,14,8,27,14,4,2,0,0,7,8,30,0,9,5,2,7,0,1,0,4,3,4,0,1,2,7,4,0,1,3,3
88,"30/8/2015","5/9/2015",1,0,7,19,10,26,6,3,3,3,0,4,4,22,3,6,2,0,2,0,1,0,1,2,1,2,0,3,4,5,0,0,8,12
89,"6/9/2015","12/9/2015",0,2,5,18,7,28,15,2,2,4,0,3,17,18,2,9,4,0,12,0,1,0,8,1,0,0,2,1,4,10,0,1,2,8
90,"13/9/2015","19/9/2015",2,3,14,16,7,22,13,2,3,0,0,5,15,17,0,8,8,0,4,0,2,0,4,3,2,0,0,4,4,9,0,0,11,8
91,"20/9/2015","26/9/2015",3,0,23,8,7,28,14,3,1,2,0,3,6,6,1,9,6,0,2,0,1,0,8,0,0,0,2,1,7,11,0,0,5,8
92,"27/9/2015","3/10/2015",0,2,21,15,8,14,10,2,0,5,0,4,3,13,2,8,6,0,8,1,1,0,14,3,5,0,4,4,3,12,0,0,9,5
93,"4/10/2015","10/10/2015",2,1,15,8,4,31,5,7,2,6,0,4,5,7,6,3,6,0,4,0,4,0,11,2,1,0,2,3,1,6,0,0,10,9
94,"11/10/2015","17/10/2015",2,1,13,9,6,18,13,4,0,0,0,3,9,13,2,6,6,0,3,0,3,1,5,2,1,0,0,6,0,10,0,1,5,5
95,"18/10/2015","24/10/2015",0,0,15,10,7,26,10,4,1,2,0,4,8,13,1,7,18,0,3,0,2,0,7,3,1,0,4,4,2,6,0,1,3,5
96,"25/10/2015","31/10/2015",0,1,10,14,6,34,5,1,2,3,0,7,4,14,2,5,7,0,1,0,1,0,10,2,1,0,1,6,4,21,0,1,10,8
97,"1/11/2015","7/11/2015",1,0,11,5,3,30,8,1,1,1,0,7,2,7,1,8,14,0,0,0,5,1,6,1,0,0,2,10,3,11,0,0,6,4
98,"8/11/2015","14/11/2015",0,2,12,4,6,20,6,2,2,0,0,3,13,16,3,6,7,0,4,0,0,0,16,1,1,0,1,11,5,10,0,1,3,5
99,"15/11/2015","21/11/2015",0,2,13,9,6,20,11,3,5,2,0,1,16,12,0,4,14,0,3,0,0,0,10,2,0,0,1,11,4,12,0,0,1,8
100,"22/11/2015","28/11/2015",0,1,19,7,4,29,6,1,1,1,0,1,16,15,2,2,11,0,3,1,2,0,4,0,5,0,2,2,5,18,1,1,4,1
101,"29/11/2015","5/12/2015",1,2,18,15,3,25,9,1,6,5,0,3,17,12,1,5,14,2,2,0,1,2,9,2,3,0,1,2,7,23,0,0,5,5
102,"6/12/2015","12/12/2015",0,1,29,6,8,37,13,4,3,3,0,4,23,11,2,16,21,0,1,1,2,2,10,0,1,0,1,4,16,20,0,0,5,14
103,"13/12/2015","19/12/2015",1,1,18,6,7,25,11,5,4,4,0,1,18,12,1,11,16,0,5,0,2,0,16,2,1,0,3,7,6,25,0,0,5,19
104,"20/12/2015","26/12/2015",2,0,31,15,13,46,5,7,3,1,0,0,28,21,4,10,32,0,2,0,2,0,14,3,1,1,1,6,7,34,0,0,4,11
105,"27/12/2015","2/1/2016",1,2,40,16,8,56,6,6,9,3,0,1,22,14,6,21,15,1,16,1,7,4,14,5,2,0,2,2,8,32,0,2,8,19
106,"3/1/2016","9/1/2016",2,2,45,28,13,68,6,3,16,6,1,3,35,32,3,12,28,1,12,0,5,1,5,1,2,1,5,5,8,35,0,3,10,22
107,"10/1/2016","16/1/2016",1,3,43,27,19,69,8,12,3,3,0,6,49,32,4,32,18,0,10,0,6,0,15,6,9,1,3,10,14,41,0,2,12,24
108,"17/1/2016","23/1/2016",1,7,45,24,14,50,5,8,11,1,0,7,39,41,4,26,24,0,16,0,8,0,8,9,2,1,4,15,9,40,0,0,10,34
109,"24/1/2016","30/1/2016",0,2,27,22,16,70,7,8,16,7,0,9,30,26,3,27,21,1,17,1,8,0,9,5,4,1,3,13,8,35,0,0,12,20
110,"31/1/2016","6/2/2016",1,3,18,16,14,39,12,5,7,2,0,3,25,25,2,23,23,0,8,0,5,1,14,0,2,1,1,4,7,37,0,0,8,16
111,"7/2/2016","13/2/2016",2,0,20,19,24,55,9,3,9,4,0,8,37,15,3,22,13,0,13,0,5,1,9,1,2,1,1,6,6,29,0,0,16,25
112,"14/2/2016","20/2/2016",1,4,19,21,21,61,12,8,13,4,0,3,41,32,13,26,9,0,18,0,18,1,8,8,3,1,4,6,9,47,0,1,12,25
113,"21/2/2016","27/2/2016",0,2,25,18,18,33,7,4,3,1,0,2,18,29,3,20,15,0,15,0,12,0,4,6,5,1,1,4,9,35,0,1,10,19
114,"28/2/2016","5/3/2016",0,1,24,16,16,32,6,10,1,3,0,3,22,23,5,13,10,0,7,1,10,0,8,1,4,1,0,5,8,24,0,4,9,6
115,"6/3/2016","12/3/2016",1,0,28,16,13,49,6,6,0,2,0,1,16,29,3,11,14,0,6,1,9,4,17,3,1,1,0,4,10,29,0,3,10,10
116,"13/3/2016","19/3/2016",0,2,22,12,11,28,2,6,0,3,0,5,17,19,1,6,18,1,7,0,6,0,14,6,1,1,1,2,6,25,0,8,10,12
117,"20/3/2016","26/3/2016",0,0,27,20,12,24,4,6,0,4,0,3,22,28,3,4,40,0,7,0,0,0,17,4,3,1,0,2,4,19,0,0,11,4
118,"27/3/2016","2/4/2016",0,2,15,10,7,18,0,3,5,5,0,3,29,19,5,11,16,0,5,0,4,0,38,2,1,0,0,2,11,17,0,0,11,12
119,"3/4/2016","9/4/2016",1,3,13,11,3,27,0,2,1,5,0,3,15,20,1,3,17,0,10,0,0,0,7,3,2,1,0,5,6,7,0,1,6,4
120,"10/4/2016","16/4/2016",0,1,8,16,0,17,0,2,0,4,0,1,11,17,3,1,16,0,8,0,3,0,9,1,2,0,0,0,8,12,0,1,9,11
121,"17/4/2016","23/4/2016",0,1,18,11,13,28,2,2,0,0,0,2,20,12,1,1,13,0,5,0,5,1,13,0,0,1,0,1,3,17,1,0,9,8
122,"24/4/2016","30/4/2016",0,1,8,6,9,30,5,0,0,3,0,3,24,6,1,5,8,0,4,0,2,0,8,2,2,0,1,8,14,13,0,2,2,7
123,"1/5/2016","7/5/2016",0,0,12,5,0,19,1,2,4,1,0,2,19,15,2,2,8,0,3,0,0,0,7,2,3,1,0,7,3,5,0,0,3,7
124,"8/5/2016","14/5/2016",2,1,15,5,5,27,3,3,4,1,0,1,38,8,3,4,4,0,5,0,0,1,4,3,2,0,0,23,8,10,0,0,5,8
125,"15/5/2016","21/5/2016",0,0,10,4,6,14,1,4,2,0,0,1,23,12,3,6,6,0,1,0,0,0,1,1,2,0,0,19,4,10,0,2,3,4
126,"22/5/2016","28/5/2016",0,4,4,8,7,17,1,2,7,3,0,2,23,9,4,3,2,1,3,0,1,0,1,1,3,0,0,14,4,5,0,1,4,6
127,"29/5/2016","4/6/2016",1,2,9,1,6,17,2,2,3,3,0,1,24,9,5,5,2,0,4,0,0,0,0,1,0,0,0,12,3,12,0,2,3,15
128,"5/6/2016","11/6/2016",0,0,8,1,7,14,1,5,0,3,0,3,14,11,1,6,3,0,2,0,2,0,5,4,0,0,0,9,4,4,0,0,5,8
129,"12/6/2016","18/6/2016",1,0,6,2,9,47,5,1,1,3,0,3,9,7,3,5,2,0,1,0,1,0,4,1,2,0,0,5,14,6,0,0,2,11
130,"19/6/2016","25/6/2016",1,1,10,4,4,40,6,2,1,3,0,1,7,11,1,1,2,0,3,0,0,0,5,0,1,0,0,5,7,11,0,0,4,10
131,"26/6/2016","2/7/2016",0,2,13,2,9,45,2,4,2,2,0,1,16,7,1,3,1,0,5,0,1,0,3,0,1,0,0,4,15,22,0,0,4,6
132,"3/7/2016","9/7/2016",0,1,12,5,10,49,1,1,4,2,0,1,21,9,0,4,3,0,2,0,0,0,5,7,0,0,1,6,12,20,0,0,0,11
133,"10/7/2016","16/7/2016",1,1,10,5,5,54,1,5,6,5,0,2,9,10,0,2,7,0,2,0,2,0,8,3,4,0,1,8,3,11,0,1,5,8
134,"17/7/2016","23/7/2016",1,1,7,14,6,55,6,2,1,6,0,2,15,11,3,3,4,0,1,0,0,0,5,3,2,0,1,6,3,14,0,0,2,9
135,"24/7/2016","30/7/2016",1,2,3,10,8,36,0,1,2,0,0,0,9,9,0,3,8,1,0,0,1,0,7,1,1,2,0,9,5,15,1,0,2,1
136,"31/7/2016","6/8/2016",0,1,7,6,6,39,5,2,6,1,0,5,10,7,0,7,3,0,3,0,0,0,4,0,0,0,0,3,3,11,0,0,5,3
137,"7/8/2016","13/8/2016",0,2,9,9,4,23,2,1,4,3,0,2,18,8,1,6,3,0,7,0,1,0,4,1,2,0,0,6,3,16,0,0,4,8
